Date,Time,Species Name,Accuracy
2023-08-01,20:16:42,Labrador retriever,0.76720244
2024-10-11,23:16:09,zebra,0.99748504
2024-10-11,23:16:36,zebra,0.99748504
2024-10-11,23:17:58,zebra,0.9999356
2024-10-11,23:18:41,warthog,0.32428995
2024-10-11,23:19:05,African elephant,0.8079801
2024-10-11,23:40:23,cheetah,0.99845254
2024-10-12,18:33:17,Band Aid,0.5141874
2024-10-12,18:35:29,partridge,0.20529741
2024-10-12,18:36:05,goldfinch,0.96125126
2024-10-12,18:49:31,goldfinch,0.96125126
2024-10-12,19:02:01,warthog,0.31191573
2024-10-12,19:02:29,zebra,0.99562305
2024-10-12,19:16:40,zebra,0.99562305
2024-10-17,19:03:48,zebra,0.99934775
2024-10-17,19:25:02,water buffalo,0.9998629
2024-10-18,00:12:16,water buffalo,0.81135285
2024-10-18,00:14:32,impala,0.43036345
2024-10-18,00:15:33,cheetah,0.9322307
2024-10-18,00:17:18,impala,0.51213694
